songs,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Girlfriend,Avril Lavigne,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Baby,Justin Bieber,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
I Cry,Flo Rida,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Coconut Tree,Mohombi,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
One Less Lonely Girl,Justin Bieber,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Romeo ja Julia (feat. Sophie),Pikku G,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Don't You Worry Child,Swedish House Mafia,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Radioactive,Imagine Dragons,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Whistle,Flo Rida,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Timber (feat. Ke$ha),Pitbull,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Scream & Shout,will.i.am,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Wake Me Up,Avicii,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Thrift Shop (feat. Wanz),Macklemore,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Superheroes,The Script,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
I Cry,Flo Rida,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Counting Stars,OneRepublic,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Gangnam Style (강남스타일),PSY,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Capsize,FRENSHIP,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Magical,Tungevaag,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Bleeding Love,Leona Lewis,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Drop That Low (When I Dip),Tujamo,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Perfect Strangers,Jonas Blue,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Thinking About You,Axwell /\ Ingrosso,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Please Don't Go,Joel Adams,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Lions in the Wild,Martin Garrix,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Never Be Like You,Flume,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Treat You Better,Shawn Mendes,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Heathens,Twenty One Pilots,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
Send My Love (To Your New Lover),Adele,spotify:track:3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
