songs,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"11 Bagatelles, Op. 119: No. 10 in A Major",Ludwig van Beethoven,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"11 Bagatelles, Op. 119: No. 11 in B-Flat Major",Ludwig van Beethoven,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quartet No. 23 in F Major, K. 590 ""Prussian No. 3"": I. Allegro moderato",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quartet No. 23 in F Major, K. 590 ""Prussian No. 3"": II. Andante (Allegretto)",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quartet No. 23 in F Major, K. 590 ""Prussian No. 3"": III. Minuetto. Allegretto",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quintet No. 4 in G Minor, K. 516: I. Allegro",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quintet No. 4 in G Minor, K. 516: II. Menuetto & Trio. Allegretto",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quintet No. 4 in G Minor, K. 516: III. Adagio ma non troppo",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
"String Quintet No. 4 in G Minor, K. 516: IV. Adagio - Allegro",Wolfgang Amadeus Mozart,spotify:track:52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,audio_features,52GmHO5DikTIKc3yBmTTT1,spotify:track:52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/tracks/52GmHO5DikTIKc3yBmTTT1,https://api.spotify.com/v1/audio-analysis/52GmHO5DikTIKc3yBmTTT1,906000,4
